img_id;group_id;annotator_1;annotator_2;annotator_3;annotator_4;annotator_5
PAT_1051_220_356.png;N;0;0;0;0;0
PAT_1066_281_698.png;N;1;1;1;1;1
PAT_108_161_423.png;N;2;2;1;1;2
PAT_1105_420_520.png;N;0;0;0;0;0
PAT_118_180_386.png;N;0;0;0;0;0
PAT_118_180_500.png;N;0;0;0;0;0
PAT_1217_762_198.png;N;2;2;2;2;2
PAT_1223_770_120.png;N;1;1;0;1;0
PAT_1247_852_178.png;N;1;1;1;1;1
PAT_1256_879_199.png;N;0;0;0;0;0
PAT_1300_1056_532.png;N;0;0;0;0;0
PAT_131_197_974.png;N;1;0;1;1;1
PAT_1326_1156_783.png;N;0;0;0;0;0
PAT_1329_1168_620.png;N;1;1;0;0;1
PAT_1345_1223_175.png;N;0;0;0;0;1
PAT_1364_1246_420.png;N;0;0;0;1;0
PAT_1364_1246_447.png;N;0;0;0;1;1
PAT_1371_1278_533.png;N;1;1;1;1;1
PAT_1373_1283_85.png;N;0;0;0;0;0
PAT_1411_1414_355.png;N;0;0;0;0;0
PAT_1414_1432_969.png;N;0;0;0;0;0
PAT_1415_1437_527.png;N;0;0;0;0;0
PAT_1464_1612_284.png;N;0;0;0;0;0
PAT_1481_1674_735.png;N;0;0;0;0;0
PAT_1505_1733_128.png;N;0;0;0;0;0
PAT_1514_1760_35.png;N;0;0;1;1;0
PAT_1516_1765_530.png;N;1;1;1;1;1
PAT_154_236_800.png;N;1;0;0;1;0
PAT_155_238_413.png;N;3;2;2;2;2
PAT_1563_2425_443.png;N;0;0;0;0;0
PAT_1586_2624_615.png;N;0;0;0;0;0
PAT_1593_2651_122.png;N;3;2;2;2;2
PAT_162_252_773.png;N;1;1;1;1;1
PAT_163_254_719.png;N;1;1;1;1;1
PAT_1689_3075_38.png;N;1;1;2;1;2
PAT_1693_3103_879.png;N;0;0;0;0;0
PAT_1708_3153_799.png;N;2;1;1;1;2
PAT_1780_3381_999.png;N;2;2;2;0;1
PAT_1786_3420_346.png;N;1;1;1;1;2
PAT_179_278_331.png;N;1;1;1;1;0
PAT_1818_3570_577.png;N;0;0;0;0;0
PAT_181_281_54.png;N;3;3;3;3;3
PAT_1869_3663_335.png;N;3;2;3;2;3
PAT_191_293_391.png;N;0;0;0;0;0
PAT_1922_3848_451.png;N;1;0;1;1;0
PAT_1942_3918_497.png;N;1;1;1;1;1
PAT_194_298_945.png;N;0;0;0;0;0
PAT_197_301_198.png;N;0;0;0;0;0
PAT_2020_4176_865.png;N;1;0;0;1;1
PAT_2022_4184_111.png;N;2;2;2;2;1
PAT_2034_4269_670.png;N;1;1;0;1;1
PAT_2053_4360_281.png;N;1;1;0;1;1
PAT_2062_4397_39.png;N;0;0;0;0;0
PAT_2106_4590_227.png;N;0;0;0;0;0
